id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count,average_rating,total_reviews,normalized_rating,rounded_normalized_rating,normalized_total_reviews,rounded_normalized_total_reviews
6Qhmt1jo7BMcFcp41fPFVg,The Hamilton,3307,4.0,$$,Seafood,"['Seafood', 'American', 'Music Venues']",https://www.yelp.com/biz/the-hamilton-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,8054.0,4.3545,11361.0,74.54608334774339,74.55,35.589143507232244,35.59
A807alX7WhJ5gXtUPK2grg,Oyamel Cocina Mexicana,3205,3.5,$$,Mexican,"['Mexican', 'Tapas Bars']",https://www.yelp.com/biz/oyamel-cocina-mexicana-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,5191.0,4.0564,8396.0,61.659173439391324,61.66,25.95156834064684,25.95
hi7U1vrjvgUmg9V-sdFa7A,MoCo's Founding Farmers,2949,3.5,$$,American,"['American', 'Breakfast & Brunch', 'Bars']",https://www.yelp.com/biz/mocos-founding-farmers-potomac?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,5050.0,4.1313,7999.0,64.89711222548851,64.9,24.661140906874696,24.66
axnuD2onVoJY7C8y-7ywYw,Busboys and Poets - 450K,2922,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'American', 'Vegan']",https://www.yelp.com/biz/busboys-and-poets-450k-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,3353.0,4.1603,6275.0,66.15078678886393,66.15,19.05737038842841,19.06
vDHEfvbVUe-SJDo9J2cVng,Milk & Honey Cafe,2858,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'Cafes']",https://www.yelp.com/biz/milk-and-honey-cafe-college-park-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,1032.0,4.0531,3890.0,61.51651392011066,61.52,11.305054444986187,11.31
c8IIrhq_HYXZFk7mFOYs1A,Mike's American,2762,4.5,$$,American,"['American', 'Seafood', 'Salad']",https://www.yelp.com/biz/mikes-american-springfield?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,6666.0,4.5707,9428.0,83.89244336849389,83.89,29.306029579067122,29.31
X0XrsKbrWNwnihIe7px_kg,The Walrus Oyster & Ale House,2731,4.0,$$,Seafood,"['Seafood', 'American', 'Cocktail Bars']",https://www.yelp.com/biz/the-walrus-oyster-and-ale-house-national-harbor?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,3045.0,4.1054,5776.0,63.77745114992221,63.78,17.43539736713798,17.44
po1he5ZMcOJ1TOqoVQfaBA,Busboys and Poets - 14th and V,2675,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'Vegan', 'American']",https://www.yelp.com/biz/busboys-and-poets-14th-and-v-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,4643.0,4.3172,7318.0,72.93359847829845,72.93,22.447586543149683,22.45
zeTqaVpvssznHt_1IxChXQ,Blue Duck Tavern,2653,4.0,$$$,American,"['American', 'Breakfast & Brunch', 'Cocktail Bars']",https://www.yelp.com/biz/blue-duck-tavern-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,1601.0,4.1882,4254.0,67.35690817914578,67.36,12.488217129855355,12.49
pW31vW_mILrCRY72v79KMQ,Peking Gourmet Inn,2636,4.0,$$$,Other,['Chinese'],https://www.yelp.com/biz/peking-gourmet-inn-falls-church?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,2285.0,4.0929,4921.0,63.23707418295004,63.24,14.656265236470015,14.66
