,id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count
14,A807alX7WhJ5gXtUPK2grg,Oyamel Cocina Mexicana,3239,3.5,$$,Mexican,"['Mexican', 'Tapas Bars']",https://www.yelp.com/biz/oyamel-cocina-mexicana-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,5376.0
15,hi7U1vrjvgUmg9V-sdFa7A,MoCo's Founding Farmers,2967,3.5,$$,New American,"['New American', 'Breakfast & Brunch', 'Bars']",https://www.yelp.com/biz/mocos-founding-farmers-potomac?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,5194.0
16,axnuD2onVoJY7C8y-7ywYw,Busboys and Poets - 450K,2961,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'New American', 'Vegan']",https://www.yelp.com/biz/busboys-and-poets-450k-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,3464.0
17,vDHEfvbVUe-SJDo9J2cVng,Milk & Honey Cafe,2882,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'Cafes']",https://www.yelp.com/biz/milk-and-honey-cafe-college-park-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,1058.0
18,c8IIrhq_HYXZFk7mFOYs1A,Mike's American,2837,4.5,$$,American,"['American', 'Seafood', 'Salad']",https://www.yelp.com/biz/mikes-american-springfield?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,6914.0
19,X0XrsKbrWNwnihIe7px_kg,The Walrus Oyster & Ale House,2782,4.0,$$,Seafood,"['Seafood', 'New American', 'Cocktail Bars']",https://www.yelp.com/biz/the-walrus-oyster-and-ale-house-national-harbor?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,3160.0
20,po1he5ZMcOJ1TOqoVQfaBA,Busboys and Poets - 14th and V,2683,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'Vegan', 'New American']",https://www.yelp.com/biz/busboys-and-poets-14th-and-v-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,4738.0
21,pW31vW_mILrCRY72v79KMQ,Peking Gourmet Inn,2667,4.0,$$$,Chinese,['Chinese'],https://www.yelp.com/biz/peking-gourmet-inn-falls-church?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,2353.0
22,zeTqaVpvssznHt_1IxChXQ,Blue Duck Tavern,2665,4.0,$$$,New American,"['New American', 'Breakfast & Brunch', 'Cocktail Bars']",https://www.yelp.com/biz/blue-duck-tavern-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,1650.0
23,sPho0P0rLrtKq8LRxaJZ9w,Vola’s Dockside Grill and Hi-Tide Lounge,2591,4.5,$$,Seafood,"['Seafood', 'American', 'Lounges']",https://www.yelp.com/biz/volas-dockside-grill-and-hi-tide-lounge-alexandria-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,3030.0
